"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","PCB-5bhg8adqnzhgtf4b63gj-1","-512mil","444mil","-512mil","444mil","-512mil","424.315mil","T","90.00","0.1uF"
"U1","PCBComponent_1","-537.512mil","1189.323mil","-882mil","1647mil","-882mil","1647mil","T","0.00","ESP32-S2-WROOM"
"R6","RESC1005X40X25NL05T05","-482mil","72mil","-482mil","72mil","-482mil","54.283mil","T","90.00","1k"
"C5","PCB-oygqt4xf3sesynjclq4r-1","-22mil","1617mil","-22mil","1617mil","-22mil","1587.472mil","T","90.00","0.1uF"
"C2","C0805","-977mil","1637mil","-977mil","1637mil","-977mil","1674.401mil","T","270.00","22uF"
"C3","0402C","-1032mil","1657mil","-1032mil","1657mil","-1032mil","1637mil","T","90.00","0.1uF"
"C4","PCB-19299738-1","-167mil","357mil","-167mil","357mil","-167mil","390.465mil","T","270.00","10uF"
"D1","KING-LED0603-25-RED_V","-377mil","-18mil","-377mil","-18mil","-377mil","7.591mil","T","270.00","3V3_PWR"
"D2","KING-LED0603-25-RED_V","-482mil","-18mil","-482mil","-18mil","-482mil","7.591mil","T","270.00","5V_PWR"
"J1","ADAM-ADC-002-3_V","-642.512mil","353.89mil","-737mil","222mil","-737mil","472mil","T","270.00","PWR_IN"
"J2","PCB-xi9jnxfk0tsn3lp09zze-1","-1102mil","1517mil","-1102mil","1517mil","-1202mil","1517mil","T","90.00","AD0"
"J3","PCB-xi9jnxfk0tsn3lp09zze-1","-1102mil","977mil","-1102mil","977mil","-1202mil","977mil","T","90.00","AD4"
"J4","Jumper","43mil","251mil","43mil","301mil","43mil","301mil","T","270.00","BOOT_MD"
"J5","PCB-xi9jnxfk0tsn3lp09zze-1","-1102mil","1382mil","-1102mil","1382mil","-1202mil","1382mil","T","90.00","AD1"
"J6","PCB-xi9jnxfk0tsn3lp09zze-1","-1102mil","842mil","-1102mil","842mil","-1202mil","842mil","T","90.00","AD5"
"J7","PCB-xi9jnxfk0tsn3lp09zze-1","-1102mil","1247mil","-1102mil","1247mil","-1202mil","1247mil","T","90.00","AD2"
"J8","PCB-xi9jnxfk0tsn3lp09zze-1","-1102mil","707mil","-1102mil","707mil","-1202mil","707mil","T","90.00","AD6"
"J9","PCB-xi9jnxfk0tsn3lp09zze-1","-1102mil","1112mil","-1102mil","1112mil","-1202mil","1112mil","T","90.00","AD3"
"J10","PCB-xi9jnxfk0tsn3lp09zze-1","-1102mil","572mil","-1102mil","572mil","-1202mil","572mil","T","90.00","AD7"
"J11","PCB-w7fgx0p37qyww1etoafk-1","43mil","1287mil","43mil","1437mil","43mil","1437mil","T","270.00","UART"
"J12","PCB-w7fgx0p37qyww1etoafk-1","43mil","862mil","43mil","1012mil","43mil","1012mil","T","270.00","JTAG"
"J13","PCB-xi9jnxfk0tsn3lp09zze-1","-1102mil","412mil","-1102mil","412mil","-1202mil","412mil","T","90.00","DT1"
"J14","PCB-xi9jnxfk0tsn3lp09zze-1","-1102mil","142mil","-1102mil","142mil","-1202mil","142mil","T","90.00","DT3"
"J15","PCB-xi9jnxfk0tsn3lp09zze-1","-1102mil","277mil","-1102mil","277mil","-1202mil","277mil","T","90.00","DT2"
"J16","PCB-xi9jnxfk0tsn3lp09zze-1","-1102mil","7mil","-1102mil","7mil","-1202mil","7mil","T","90.00","DT4"
"J17","Jumper","43mil","517mil","43mil","567mil","43mil","567mil","T","270.00","USB"
"R1","PCB-urbe6pl2f36u5sj9z9e0-1","-102mil","1617mil","-102mil","1617mil","-102mil","1643.575mil","T","270.00","10k"
"R2","PCB-azzhouwj1h0sqqpj65ny-1","-62mil","567mil","-62mil","567mil","-80.701mil","567mil","T","360.00","0"
"R3","PCB-azzhouwj1h0sqqpj65ny-1","-62mil","467mil","-62mil","467mil","-80.701mil","467mil","T","360.00","0"
"R4","PCB-urbe6pl2f36u5sj9z9e0-1","-567mil","627mil","-567mil","627mil","-567mil","653.575mil","T","270.00","10k"
"R5","RESC1005X40X25NL05T05","-377mil","72mil","-377mil","72mil","-377mil","54.283mil","T","90.00","620"
"S1","PCB-xzcf6rj7v3ysitq80b7l-1","58mil","1592mil","58mil","1592mil","58mil","1655.976mil","T","270.00","CHIP_EN"
"U2","SOT-223_N","-352mil","357mil","-352mil","357mil","-261.449mil","471.173mil","T","270.00","LD1117S33CTR"

