"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J1","ADAM-ADC-002-3_V","333.89mil","512.512mil","202mil","607mil","452mil","607mil","T","180.00","PWR_IN"
"A1","PCB-wx81mnio3p969u8b8u4u-1","1935mil","762mil","2010mil","762mil","1935mil","762mil","T","270.00","WIFI_ANTENNA"
"C1","C0805","1598mil","516mil","1598mil","516mil","1598mil","551mil","T","360.00","1uF"
"C2","PCB-98fz84kwkqgd8opjlb99-1","1327.787mil","485.472mil","1327.787mil","485.472mil","1327.787mil","468.15mil","T","90.00","15pF"
"C3","PCB-98fz84kwkqgd8opjlb99-1","1537.787mil","525.472mil","1537.787mil","525.472mil","1537.787mil","542.795mil","T","270.00","15pF"
"C4","CAPC1005X55X25ML05T10","1657.472mil","575mil","1657.472mil","575mil","1657.472mil","555.709mil","T","90.00","2.4pF"
"C5","CAPC1005X55X25ML05T10","1717.472mil","575mil","1717.472mil","575mil","1717.472mil","555.709mil","T","90.00","3pF"
"C6","C0805","587mil","677mil","587mil","677mil","552mil","677mil","T","90.00","1uF"
"C7","CAPC1608X90X35ML15T15","591mil","452mil","591mil","452mil","557.535mil","452mil","T","360.00","0.47uF"
"C8","PCB-3l8viaoeo84t9gm70k7i-1","1668mil","823mil","1668mil","823mil","1668mil","858mil","T","360.00","10uF"
"C9","PCB-oygqt4xf3sesynjclq4r-1","1757mil","725mil","1757mil","725mil","1786.528mil","725mil","T","180.00","0.1uF"
"C10","C0805","1738mil","823mil","1738mil","823mil","1738mil","788mil","T","180.00","1uF"
"C11","PCB-oygqt4xf3sesynjclq4r-1","907mil","685mil","907mil","685mil","907mil","655.472mil","T","90.00","0.1uF"
"C12","PCB-oygqt4xf3sesynjclq4r-1","201mil","848mil","201mil","848mil","171.472mil","848mil","T","360.00","0.1uF"
"D1","PCB-1544848-1","-14mil","130mil","-14mil","130mil","15.528mil","130mil","T","180.00","3V3_PWR"
"D2","DIOM1608X06N","-14mil","300mil","-14mil","300mil","15.528mil","300mil","T","180.00","5V_PWR"
"J2","PCB-di8nzhz8ya7afv8i1myi-1","1652mil","1110mil","1902mil","1110mil","1902mil","1110mil","T","180.00","UART"
