"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J7","PCB-s0hfil65plaomi4ibvcw-1","4075mil","2720mil","4075mil","2720mil","3975mil","2720mil","T","360.00","DHT-4"
"J6","PCB-s0hfil65plaomi4ibvcw-1","4075mil","2998.333mil","4075mil","2998.333mil","3975mil","2998.333mil","T","360.00","DHT-3"
"U1","SOIC-SL16_L","2995mil","2570mil","2995mil","2570mil","2820mil","2477.48mil","T","90.00","MCP3008T-I/SL"
"R2","PCB-urbe6pl2f36u5sj9z9e0-1","2010mil","3425mil","2010mil","3425mil","1983.425mil","3425mil","T","360.00","10k"
"R1","PCB-urbe6pl2f36u5sj9z9e0-1","2010mil","3525mil","2010mil","3525mil","1983.425mil","3525mil","T","360.00","10k"
"J15","PCB-s0hfil65plaomi4ibvcw-1","3880mil","2175mil","3880mil","2175mil","3880mil","2075mil","T","90.00","ADC7"
"J14","PCB-s0hfil65plaomi4ibvcw-1","2888.571mil","2175mil","2888.571mil","2175mil","2888.571mil","2075mil","T","90.00","ADC3"
"J13","PCB-s0hfil65plaomi4ibvcw-1","3632.143mil","2175mil","3632.143mil","2175mil","3632.143mil","2075mil","T","90.00","ADC6"
"J12","PCB-s0hfil65plaomi4ibvcw-1","2640.714mil","2175mil","2640.714mil","2175mil","2640.714mil","2075mil","T","90.00","ADC2"
"J11","PCB-s0hfil65plaomi4ibvcw-1","3384.285mil","2175mil","3384.285mil","2175mil","3384.285mil","2075mil","T","90.00","ADC5"
"J10","PCB-s0hfil65plaomi4ibvcw-1","2392.857mil","2175mil","2392.857mil","2175mil","2392.857mil","2075mil","T","90.00","ADC1"
"J9","PCB-s0hfil65plaomi4ibvcw-1","3136.428mil","2175mil","3136.428mil","2175mil","3136.428mil","2075mil","T","90.00","ADC4"
"J8","PCB-s0hfil65plaomi4ibvcw-1","2145mil","2175mil","2145mil","2175mil","2145mil","2075mil","T","90.00","ADC0"
"J5","PCB-s0hfil65plaomi4ibvcw-1","4075mil","3276.667mil","4075mil","3276.667mil","3975mil","3276.667mil","T","360.00","DHT-2"
"J4","PCB-s0hfil65plaomi4ibvcw-1","4075mil","3555mil","4075mil","3555mil","3975mil","3555mil","T","360.00","DHT-1"
"J3","PCB-195qa83xwzmdfln5hnix-1","2004.997mil","2854.997mil","2005mil","2855mil","1904.997mil","2748.699mil","T","0.00","SPI0"
"J2","PCB-t2j72m1yraok0w090vy8-1","1858.15mil","3475mil","1858.15mil","3525mil","1858.15mil","3525mil","T","0.00","I2C"
"C1","C0805","2895mil","2755mil","2895mil","2755mil","2860mil","2755mil","T","90.00","1uF"
"R3","PCB-etsube69rmkcafwxmreb-1","4020mil","3655mil","4020mil","3655mil","4046.575mil","3655mil","T","180.00","4.7k"
"R4","PCB-etsube69rmkcafwxmreb-1","4020mil","3380mil","4020mil","3380mil","4046.575mil","3380mil","T","180.00","4.7k"
"R5","PCB-etsube69rmkcafwxmreb-1","4020mil","3100mil","4020mil","3100mil","4046.575mil","3100mil","T","180.00","4.7k"
"R6","PCB-etsube69rmkcafwxmreb-1","4020mil","2820mil","4020mil","2820mil","4046.575mil","2820mil","T","180.00","4.7k"
"J1","PCB-dv9vmhrfa2chsb9gidwm-1","3014.53mil","3951.93mil","2064.53mil","3901.93mil","2064.53mil","3901.93mil","T","360.00","Adafruit 2223 Header"

